"Graphic Design
                        Albatross Media & Entertainment                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             9000-14000 /monthApply By"
"Business Development (Sales)
                        Mobi Soft Tech                    Navi MumbaiMumbai","Navi Mumbai, Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000-15000 /monthApply By"
"Corporate Sales
                        Internshala                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Human Resources (HR)
                        Jobs Flash Consulting Services                    GurgaonFaridabadDelhiGhaziabadGreater NoidaNoida","Gurgaon, Faridabad, Delhi, Ghaziabad, Greater Noida, Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By"
"Lead Generation
                        UpGrad                    ChennaiBangalore","Chennai, Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             25000 /monthApply By"
"Marketing
                        Think & Learn Private Limited (BYJU'S)                    Rajkot","Rajkot                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Human Resources (HR)
                        Hindustan Unilever Limited                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    Bhopal","Bhopal                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Marketing
                        Internshala                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Community Management
                        Internshala                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Corporate Partnerships
                        Internshala                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Campus Ambassador
                        Wynk Limited                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Performance BasedApply By"
"Business Development (Sales)
                        BYJU'S The Learning App                    BhavnagarVapiAnand","Bhavnagar, Vapi, Anand                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             37500 lump sumApply By"
"Business Development (Sales)
                        Urban Company                    Jaipur","Jaipur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             11000 /monthApply By"
